,C_0002,C_0003,C_0004,C_0005,C_0006,C_0008,C_0009,C_0010,C_0011,C_0012,C_0013,C_0014,C_0015,C_0016,C_0017,C_0018,C_0019,C_0020,C_0021,C_0022,C_0023,C_0024,C_0025,C_0026,C_0029,C_0031,C_0032,C_0033,C_0035,C_0036,C_0037,C_0038,C_0039,C_0050,C_0053,C_0060,C_0061,C_0062,C_0065,C_0069,C_0070,C_0071,C_0075,C_0076,C_0077,C_0081,C_0082,C_0083,C_0087,H_0001,H_0002,H_0003,H_0005,H_0006,H_0007,H_0008,H_0009,H_0010,H_0012,H_0013,H_0539,H_0657,H_0658,H_0681,H_0695,H_0700,H_0726,H_0740,H_0750
ENSG00000000003.10,319.4965303,307.3352954,258.9064827,232.927082,229.0538284,290.4142711,143.4921828,254.1069091,386.8458905,218.9493184,309.4137476,327.0253208,265.710745,310.3941893,331.1519121,135.4124936,331.8017421,169.3684299,390.7244242,253.0983825,338.4421907,357.0195499,212.0752758,283.7390603,365.5974949,196.1777143,356.9273906,237.0938271,252.7446658,212.0288226,248.9369236,221.0772632,399.396965,323.4317219,310.4223165,1053.543758,329.2400466,379.3031315,1762.447372,376.7759699,381.7816789,541.8573195,367.9068814,236.8856052,259.3911876,372.8664903,212.7544034,315.9028673,314.2280584,239.1214945,769.2504957,631.7981508,358.9846104,520.5716118,426.247378,558.5206159,564.1420293,385.652242,250.0540519,509.7754934,238.9079025,283.6044039,402.9177835,231.7687338,1100.535235,557.0346496,316.8454762,566.3134512,745.5569311
ENSG00000000005.5,0,1.982808357,6.943852028,1.982358145,2.974725045,7.929399892,0.989601261,7.94084091,4.959562699,3.962883591,4.958553647,1.981971641,8.923122032,6.941723082,0,0,3.961811846,9.904586546,0.991686356,6.947798735,1.984998186,12.89237263,1.982011923,7.936756931,0.990779119,5.944779222,9.91464974,12.89631695,18.83195549,1.981577782,0.991780572,7.931022896,4.955297332,4.960609232,5.950587538,13.87545871,1.983373774,6.932433214,0.990695543,5.949094262,5.949844347,0,2.974988259,9.9115316,2.970128102,2.974998593,9.895553645,1.98058224,6.916969838,0,1.98260437,3.967335327,3.966680778,0.991564975,8.92145675,2.97085434,0,5.94836363,2.976833951,21.81918454,8.921871879,1.98324758,1.979939968,3.961858698,4.957365922,5.946989141,6.930994791,2.975377152,8.922888803
ENSG00000000419.8,600.2962758,570.0574028,598.1632532,633.3634272,440.2593066,656.1578411,652.1472308,578.6887813,415.6113541,544.8964938,511.7227364,656.0326132,669.2341524,605.9132576,537.3782526,597.0010668,646.7657839,637.8553736,546.419182,688.8246175,483.3470583,593.0491412,636.2258274,545.652039,618.2461702,1179.047879,941.8917253,1107.099209,1135.864263,1024.475713,1068.147676,826.8091369,954.3902662,1023.869745,1037.385761,1066.428112,991.6868872,1005.202816,1034.286147,1232.454028,1248.475672,862.811198,986.7044392,1083.330404,948.4609073,1045.216172,1146.894667,1045.747423,946.6367293,1036.854613,910.015406,1356.828682,831.019623,993.5481049,900.0758588,714.9856112,818.9478316,960.6607262,954.5714203,1103.852382,1031.963181,939.067729,914.7322653,882.5040249,920.0871152,940.6154492,1079.254903,955.0960656,1099.498187
ENSG00000000457.8,157.7638146,168.5387104,182.5241104,190.3063819,195.3402779,196.2526473,304.7971883,164.7724489,202.3501581,314.0585246,230.0768892,177.3864619,205.2318067,220.1517892,250.8426161,410.1911303,222.8519163,191.1585203,233.0462936,147.8888588,178.6498367,178.5097749,184.3271089,197.4268287,200.137382,139.7023117,269.6784729,187.492608,205.1691993,265.5314227,185.462967,240.9048205,131.810909,258.9438019,135.8717488,185.3364842,199.3290643,214.9054296,232.8134527,181.447375,202.2947078,286.2829348,146.7660874,264.6378937,289.0924686,271.7165381,189.99463,252.5242356,231.2244203,86.32186731,261.7037769,92.24054635,234.0341659,83.2914579,281.5215241,197.0666712,147.7278776,268.6677573,165.7104233,336.2137982,250.8037317,149.7351923,282.1414455,189.1787528,340.0753023,264.6410168,251.4960967,189.4323453,157.6377022
ENSG00000000460.12,151.8104631,156.6418602,146.8128714,108.0385189,137.8289271,157.5968229,325.5788148,110.1791676,106.1346417,262.5410379,127.9306841,115.945341,129.8809985,139.8261364,149.7123914,303.4425952,119.8448083,133.7119184,134.8693444,104.216981,89.32491836,138.8409361,119.9117214,104.1699347,103.0410284,178.3433767,145.7453512,134.9153158,151.6467995,145.645967,141.8246218,158.6204579,119.9181954,134.9285711,134.8799842,185.3364842,167.5950839,137.6583167,144.6415493,99.15157104,134.8631385,217.9316459,101.1496008,134.7968298,199.9886255,143.7915986,178.1199656,193.1067684,156.1258906,124.0256714,231.9647113,111.0853891,256.8425804,127.9118818,275.5738863,126.7564518,164.5827361,168.5369695,117.0888021,248.93706,139.7759928,157.6681826,144.5356177,326.8533426,192.3457978,185.3478282,156.4424539,90.25310693,132.8519
ENSG00000000938.8,332.3954585,302.3782745,243.034821,198.2358145,154.6857023,289.4230961,166.2530118,197.5284176,320.3877503,81.23911362,197.3504352,292.3408171,103.1116324,385.7614684,139.7976635,69.18886535,286.2409059,104.9886174,115.0356173,324.5614552,218.3498004,205.2862412,128.830775,270.8418303,636.0801944,122.8587706,156.6514659,168.6441448,188.3195549,146.6367558,56.53149262,79.31022896,236.8632125,137.9049366,185.4599783,452.9346165,238.9965398,151.5231831,107.9858142,111.0497596,540.4441948,179.2983087,437.3232741,85.23917176,95.04409927,215.1915649,114.7884223,94.07765642,132.4105655,147.8386003,599.737822,311.4358232,355.0179296,444.2211088,300.3557106,454.540714,491.7652839,225.046424,421.7181431,276.7069312,192.3159049,502.7532615,282.1414455,377.367041,1065.833673,479.7237907,184.166433,460.1916661,627.5765125
ENSG00000000971.11,668.759818,310.3095079,501.9413037,638.3193226,296.4809295,1039.742561,222.6602837,261.0551449,320.3877503,73.31334644,1405.254104,568.825861,142.7699525,1631.304924,278.6038542,124.5399576,1460.918118,209.9772348,210.2375074,740.4368367,289.8097351,396.6883887,199.1921983,458.3477128,1312.782333,195.1869178,492.7580921,324.3919726,401.4179986,194.1946226,148.7670858,293.4478472,579.7697879,334.3450622,916.3904808,1478.727457,669.3886489,615.0058608,811.3796501,308.3613859,2066.57927,794.4599091,777.4635983,258.6909748,491.0611796,1035.29951,292.9083879,293.1261716,583.989882,275.8330933,3209.836476,842.0669231,829.0362826,1178.970755,1666.329866,3643.257706,1978.958683,1242.216605,1455.671802,1901.244398,644.3574135,1178.049062,608.8315402,1575.829297,6733.094396,6492.129813,651.5135104,1131.63511,3193.402759
ENSG00000001036.8,365.1388917,591.8682947,378.9359249,411.339315,343.0849552,420.2581943,1212.261544,373.2195228,478.1018441,788.6138346,456.1869356,368.6467252,336.1042632,472.0371696,572.0798003,412.167955,547.7204877,350.6223637,554.3526728,331.509254,453.5720855,390.7380629,486.5839272,422.6323066,628.1539614,553.8552642,447.1507033,495.0201661,312.2139989,446.8457898,471.0957718,503.6199539,416.2449759,423.6360284,517.7011158,430.13922,477.0013928,506.0676246,745.9937442,423.3772083,486.8955957,721.1556282,449.2232271,276.5317316,455.4196423,418.4831353,627.3781011,484.2523578,438.7335154,364.1393713,621.5464701,486.9904114,419.4764923,408.5247697,588.8161455,452.5601445,475.9018876,401.514545,325.4671787,509.7754934,416.354021,523.5773611,343.5195845,575.4599758,900.2576515,419.2627345,457.4456562,550.444773,705.8996475
ENSG00000001084.6,1243.258237,1814.269647,1149.7035,1545.248174,1392.171321,1731.582701,4795.607709,1093.850835,1824.127161,2704.668051,1257.489205,1281.344666,1093.578178,1089.850524,2293.276565,951.8411048,1132.087735,1164.779378,1744.3763,818.8477081,911.1141673,1302.129636,1657.952974,1232.181514,1223.612212,1571.403308,1767.782049,1615.015692,1287.511062,1233.532169,1266.503791,1495.989194,1347.840874,1364.167539,1555.086877,2098.167578,1841.56255,1790.548464,3217.779125,1264.182531,793.3125796,2336.821603,1317.919799,1294.446027,1720.694214,1479.565967,1798.022097,1929.087102,1765.803586,1048.761078,1907.265404,1517.505762,1623.364108,937.0289013,1676.242596,1744.881782,1450.509295,1345.321574,1211.571418,1307.16751,1066.659349,1222.672133,1627.510654,2867.395232,2012.690564,1884.204393,1547.592123,1204.035954,1618.01717
ENSG00000001167.10,514.9649044,927.9543113,514.8370289,713.6489321,692.1193604,727.5224401,1120.228627,563.7997046,717.1527662,1130.412544,680.3135604,552.9700878,638.4989543,689.2139346,787.2293959,1033.879331,790.3814633,701.2447275,816.1578708,491.3086249,613.3644394,652.5523995,623.3427499,607.1619052,726.2410942,376.5026841,756.4877751,492.044093,480.7104428,594.4733345,510.7669947,839.6970491,476.6996034,847.2720568,371.9117211,635.2977881,520.6356158,654.6197649,775.7146105,429.3263026,479.9541106,909.3693223,528.5562473,697.7718247,895.9886441,862.7495918,499.725459,687.2620374,749.9971582,336.3576209,825.7547203,393.7580312,762.5943796,394.64286,821.765294,729.8398829,859.5977845,624.5781811,752.1467117,858.882446,697.8886447,561.2590651,851.3741864,1040.978373,877.4537682,656.1511353,730.7248794,765.6637203,512.5703901
